Rev YOY % [FY1997],Rev YOY % [FY1998],Rev YOY % [FY1999],Rev YOY % [FY2000],Rev YOY % [FY2001],Rev YOY % [FY2002],Rev YOY % [FY2003],Rev YOY % [FY2004],Rev YOY % [FY2005],Rev YOY % [FY2006],Rev YOY % [FY2007],Rev YOY % [FY2008],Rev YOY % [FY2009],Rev YOY % [FY2010],Rev YOY % [FY2011],Rev YOY % [FY2012],Rev YOY % [FY2013],Rev YOY % [FY2014],Rev YOY % [FY2015],Rev YOY % [FY2016],EBITDA Margin % [FY 1997],EBITDA Margin % [FY 1998],EBITDA Margin % [FY 1999],EBITDA Margin % [FY 2000],EBITDA Margin % [FY 2001],EBITDA Margin % [FY 2002],EBITDA Margin % [FY 2003],EBITDA Margin % [FY 2004],EBITDA Margin % [FY 2005],EBITDA Margin % [FY 2006],EBITDA Margin % [FY 2007],EBITDA Margin % [FY 2008],EBITDA Margin % [FY 2009],EBITDA Margin % [FY 2010],EBITDA Margin % [FY 2011],EBITDA Margin % [FY 2012],EBITDA Margin % [FY 2013],EBITDA Margin % [FY 2014],EBITDA Margin % [FY 2015],EBITDA Margin % [FY 2016]
48.996,53.44,63.3785,47.3826,20.2211,-15.8128,-8.4813,10.2902,13.667,3.8109,4.6751,9.2471,2.8066,-8.225,6.8781,8.5833,-1.1268,5.7715,3.1643,-4.6651,2.9359,2.82,2.3671,1.9404,2.0887,1.8235,1.7083,1.308,1.4547,1.2575,1.0146,1.1648,1.1212,1.382,1.5609,1.5212,1.27,0.9879,1.2021,1.3682
157.5861,59.6988,17.606,-18.8078,-16.1724,8.7773,31.9725,26.852,16.25,32.6634,17.8713,25.6002,-6.7762,5.7283,36.1955,27.8398,30.0454,6.5189,-4.5532,-,9.533,11.8443,20.4093,33.5416,35.0223,40.789,45.256,46.8647,45.5138,39.6492,36.9293,37.6952,40.3388,40.0018,41.4588,34.8098,35.6752,35.8288,34.2905,-
-,-,-,-,-,52.5388,70.9786,36.5088,21.0309,5.445,35.0874,13.3199,23.2055,27.3176,-4.7832,21.1531,-8.1436,-2.1363,7.289,-,-,-,-,-,17.6339,35.1133,34.1837,35.9243,22.1606,16.5641,30.1132,26.3613,19.8891,17.7838,11.8114,17.3614,17.6906,17.3954,16.3144,-
11.8805,108.7105,195.9199,76.0561,74.0118,8.2177,2.0897,8.2262,8.643,-2.8145,23.3236,46.1684,12.3028,-22.4204,18.4626,3.1656,-19.6761,10.7729,0.1505,-6.6126,6.8874,6.6492,7.4946,6.4691,6.3965,5.6741,4.4806,4.4227,5.0072,4.8009,4.2908,4.0522,3.5698,3.8382,4.1568,3.7921,4.4303,4.0516,4.6249,4.5152
12.5362,-0.9562,-1.7411,8.1834,3.8358,-5.7067,-7.959,4.5108,-2.1421,2.671,-5.6253,-0.763,-8.697,-15.0028,-13.0535,-2.5226,1.145,-0.9277,-3.5358,-3.895,6.8341,7.5196,6.3089,10.8416,8.0469,3.5133,5.3694,5.8945,6.3357,5.3545,5.6483,7.5025,3.9005,5.4665,4.7942,5.1893,6.5781,6.2084,7.2647,6.987
18.8132,7.4796,11.5998,29.5583,-21.3671,-23.3733,17.3117,24.8323,4.8664,21.6129,17.7348,4.8546,-12.3914,27.6528,14.1138,-4.6056,4.6662,6.6084,2.2546,-,6.1988,4.8846,4.7446,7.2329,3.9141,3.4621,3.5566,4.7271,4.8259,4.9292,4.788,4.0299,3.0327,4.5966,4.9368,4.3506,4.2949,4.5507,4.5056,-
59.2188,59.0218,46.9669,62.1538,45.2139,3.1775,-15.1416,19.3854,52.0232,13.2572,-1.5552,15.3472,2.0365,33.3018,20.9542,17.3037,23.8689,11.279,21.7681,-,23.781,25.2649,32.9475,38.8116,39.7739,39.5442,28.1002,27.3308,35.306,26.8577,26.0989,29.6945,25.9122,31.1116,33.6112,40.0762,40.1483,44.1775,46.215,-
11.6364,25.944,60.2953,34.2338,17.4653,13.9617,1.5612,22.7074,10.4736,23.17,23.728,11.8693,11.1428,-11.2277,4.4141,0.4572,2.6787,-1.6424,6.0583,-,28.4287,28.5877,28.3154,29.3917,29.188,27.621,29.9269,29.3357,28.6203,28.1103,26.4253,24.8957,25.6235,28.426,28.2962,28.4659,29.1185,27.536,27.0776,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,11.5277,7.9115,13.7016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.7371,39.0076,42.7148,38.2092,-
-,-,-,-,0,436.1215,179.3376,55.5918,24.7357,96.3299,36.44,87.2464,73.8749,57.9268,45.0474,54.0352,37.6885,30.6021,30.3185,-,-,-,-,-,26.0595,56.6495,48.0834,41.7863,33.4979,43.0328,46.4459,48.93,51.1568,52.8281,46.4604,39.5589,34.0321,38.9423,41.7458,-
