Payout Ratio [FY 1997] (%),Payout Ratio [FY 1998] (%),Payout Ratio [FY 1999] (%),Payout Ratio [FY 2000] (%),Payout Ratio [FY 2001] (%),Payout Ratio [FY 2002] (%),Payout Ratio [FY 2003] (%),Payout Ratio [FY 2004] (%),Payout Ratio [FY 2005] (%),Payout Ratio [FY 2006] (%),Payout Ratio [FY 2007] (%),Payout Ratio [FY 2008] (%),Payout Ratio [FY 2009] (%),Payout Ratio [FY 2010] (%),Payout Ratio [FY 2011] (%),Payout Ratio [FY 2012] (%),Payout Ratio [FY 2013] (%),Payout Ratio [FY 2014] (%),Payout Ratio [FY 2015] (%),Payout Ratio [FY 2016] (%),"Repurchase of Common Stock [FY 1997]($USDmm, Current rate)","Repurchase of Common Stock [FY 1998]($USDmm, Current rate)","Repurchase of Common Stock [FY 1999]($USDmm, Current rate)","Repurchase of Common Stock [FY 2000]($USDmm, Current rate)","Repurchase of Common Stock [FY 2001]($USDmm, Current rate)","Repurchase of Common Stock [FY 2002]($USDmm, Current rate)","Repurchase of Common Stock [FY 2003]($USDmm, Current rate)","Repurchase of Common Stock [FY 2004]($USDmm, Current rate)","Repurchase of Common Stock [FY 2005]($USDmm, Current rate)","Repurchase of Common Stock [FY 2006]($USDmm, Current rate)","Repurchase of Common Stock [FY 2007]($USDmm, Current rate)","Repurchase of Common Stock [FY 2008]($USDmm, Current rate)","Repurchase of Common Stock [FY 2009]($USDmm, Current rate)","Repurchase of Common Stock [FY 2010]($USDmm, Current rate)","Repurchase of Common Stock [FY 2011]($USDmm, Current rate)","Repurchase of Common Stock [FY 2012]($USDmm, Current rate)","Repurchase of Common Stock [FY 2013]($USDmm, Current rate)","Repurchase of Common Stock [FY 2014]($USDmm, Current rate)","Repurchase of Common Stock [FY 2015]($USDmm, Current rate)","Repurchase of Common Stock [FY 2016]($USDmm, Current rate)"
-,-,-,-,0,0,0,6.5265,27.2334,13.6681,13.4232,9.2582,7.6837,7.9375,8.216,8.7024,9.4697,7.396,9.1647,-,-,-,-,-,0,0,5.70587,0,18.5527,36.33757,16.16635,61.70792,26.85819,72.00968,223.94595,21.25286,241.61944,88.93042,98.27565,-
-,-,-,-,-,-,-,-,-,0,0,3.6929,10.9351,7.5103,5.1735,14.5309,11.281,21.1206,32.0334,22.9492,-,-,-,-,-,-,-,-,-,0,0,0,29.92668,0,0,129.6723,199.5112,99.7556,0,0
-,-,-,-,-,-,-,0,0,0,7.4752,13.5885,74.5737,-,0,0,99.1919,7.901,25.7659,-,-,-,-,-,-,-,-,0,0,0,0,0.00998,299.31668,0.00998,0,0,0,0,542.71037,-
-,0,0,0,0,0,0,0,0,7.7596,8.1344,9.2704,8.3731,9.0023,18.0873,18.3076,17.4745,17.9114,18.9437,29.3665,-,0,0,0,0.57858,0,0.01995,0,0,0,0,0,818.0059,30.60502,25.3479,0,200.58856,299.2668,7.93057,0
0,0,0,0,0,0,0,11.4622,25.6174,38.7893,47.3154,77.8458,73.3983,0,51.4906,80.3153,42.9344,70.7079,69.2278,-,0,0.75959,0.70428,0.78425,0.13523,22.88152,20.89357,31.57942,1.41715,71.00446,25.39778,69.81894,5.39678,0,46.70557,0,18.43484,33.35827,0,-
12.9632,13.0346,15.4974,13.638,9.8201,15.0274,26.4744,15.5897,15.1846,34.4013,37.026,14.6843,167.7594,-,21.0455,35.7763,33.2878,23.7974,22.3613,25.9291,0,0,0,0.00998,0.91775,4.14983,42.46596,3.34181,152.59614,0,7.00284,341.48337,349.65335,0.22944,199.64088,0.05985,0.05985,0.21946,0.61849,1496.8228
78.7491,65.0063,-,46.886,55.3817,32.3356,21.8381,35.3016,70.5741,-,0.0165,13.4696,61.1305,54.7575,30.6688,38.9003,52.6117,42.4683,21.7618,38.9297,0,0,0,0,0.00998,0.18954,2.03501,2.85301,2.32431,1.3467,1.89536,2.88294,6.63375,1.08734,0.75814,0.10973,0.08978,157.6737,134.75984,99.89526
0,0,0,11.6451,7.5557,54.3516,12.0249,23.2843,16.0197,74.0637,7.8993,7.5471,22.7749,9.0521,8.6943,35.8699,75.0447,134.3292,61.9447,-,0,0,0,0,0,0,0,0,0,0,0,2.25448,5.07756,0.16959,0,0,0,0,0,-
0,0,0,0,0,-,0,0,37.4193,0,11.0262,9.831,42.0342,-,13.4627,26.8856,37.0441,16.3345,14.2068,25.8126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.1769,-,-,0,0,0,0,1.2048,0.0089,35.9232,-,0,0,0,0,0,9.7139,3.772,14.859,65.2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
